  0.631E+01    0.929E-01   0.601E-03   0.923E-01   0.940E-02   0.472E-01   0.451E-01
  0.794E+01    0.563E-01   0.217E-03   0.561E-01   0.517E-02   0.292E-01   0.269E-01
  0.100E+02    0.318E-01   0.138E-03   0.317E-01   0.259E-02   0.154E-01   0.163E-01
  0.126E+02    0.174E-01   0.274E-04   0.174E-01   0.131E-02   0.853E-02   0.889E-02
  0.158E+02    0.994E-02   0.000E+00   0.994E-02   0.674E-03   0.490E-02   0.504E-02
  0.200E+02    0.557E-02   0.000E+00   0.557E-02   0.398E-03   0.274E-02   0.283E-02
  0.251E+02    0.314E-02   0.000E+00   0.314E-02   0.178E-03   0.166E-02   0.148E-02
  0.316E+02    0.172E-02   0.000E+00   0.172E-02   0.763E-04   0.833E-03   0.890E-03
  0.398E+02    0.884E-03   0.000E+00   0.884E-03   0.260E-04   0.446E-03   0.437E-03
  0.501E+02    0.454E-03   0.000E+00   0.454E-03   0.275E-04   0.242E-03   0.212E-03
  0.631E+02    0.219E-03   0.000E+00   0.219E-03   0.547E-05   0.129E-03   0.897E-04
  0.794E+02    0.130E-03   0.000E+00   0.130E-03   0.000E+00   0.651E-04   0.651E-04
  0.100E+03    0.724E-04   0.000E+00   0.724E-04   0.345E-05   0.326E-04   0.398E-04
