   -1.800      6.175     10.612
   -1.700      6.103     10.440
   -1.600      6.013     10.250
   -1.500      5.931     10.068
   -1.400      5.846      9.883
   -1.300      5.775      9.712
   -1.200      5.693      9.530
   -1.100      5.606      9.343
   -1.000      5.541      9.177
   -0.900      5.442      8.979
   -0.800      5.388      8.824
   -0.700      5.300      8.636
   -0.600      5.225      8.462
   -0.500      5.147      8.284
   -0.400      5.067      8.104
   -0.300      4.985      7.922
   -0.200      4.913      7.750
   -0.100      4.823      7.560
    0.000      4.743      7.380
    0.100      4.659      7.196
    0.200      4.558      6.995
    0.300      4.474      6.811
    0.400      4.376      6.612
    0.500      4.282      6.418
    0.600      4.182      6.219
    0.700      4.077      6.013
    0.800      3.974      5.811
    0.900      3.861      5.598
    1.000      3.765      5.401
    1.100      3.658      5.195
    1.200      3.541      4.978
    1.300      3.433      4.770
    1.400      3.322      4.559
    1.500      3.212      4.349
    1.600      3.107      4.144
    1.700      2.994      3.931
    1.800      2.895      3.731
    1.900      2.798      3.535
    2.000      2.684      3.321
    2.100      2.592      3.129
    2.200      2.489      2.926
    2.300      2.382      2.719
    2.400      2.276      2.512
    2.500      2.179      2.316
    2.600      2.070      2.107
    2.700      1.958      1.895
    2.800      1.843      1.680
    2.900      1.727      1.463
    3.000      1.612      1.248
    3.100      1.461      0.998
    3.200      1.326      0.762
    3.300      1.185      0.522
    3.400      1.023      0.260
    3.500      0.847     -0.016
    3.600      0.650     -0.313
    3.700      0.524     -0.539
    3.800      0.292     -0.871
    3.900      0.071     -1.192
    4.000     -0.121     -1.485
