   -1.800      6.278     10.715
   -1.700      6.196     10.532
   -1.600      6.115     10.352
   -1.500      6.029     10.166
   -1.400      5.941      9.978
   -1.300      5.863      9.800
   -1.200      5.783      9.619
   -1.100      5.702      9.438
   -1.000      5.624      9.261
   -0.900      5.544      9.081
   -0.800      5.462      8.899
   -0.700      5.387      8.724
   -0.600      5.310      8.547
   -0.500      5.234      8.371
   -0.400      5.155      8.192
   -0.300      5.083      8.020
   -0.200      4.996      7.833
   -0.100      4.919      7.656
    0.000      4.840      7.477
    0.100      4.752      7.289
    0.200      4.664      7.100
    0.300      4.573      6.910
    0.400      4.481      6.718
    0.500      4.384      6.521
    0.600      4.288      6.325
    0.700      4.184      6.121
    0.800      4.083      5.920
    0.900      3.974      5.710
    1.000      3.862      5.499
    1.100      3.763      5.300
    1.200      3.648      5.084
    1.300      3.535      4.872
    1.400      3.423      4.660
    1.500      3.307      4.443
    1.600      3.202      4.238
    1.700      3.090      4.027
    1.800      2.983      3.820
    1.900      2.883      3.619
    2.000      2.778      3.414
    2.100      2.678      3.215
    2.200      2.569      3.006
    2.300      2.468      2.805
    2.400      2.366      2.603
    2.500      2.263      2.400
    2.600      2.158      2.195
    2.700      2.045      1.982
    2.800      1.927      1.764
    2.900      1.806      1.543
    3.000      1.688      1.325
    3.100      1.548      1.085
    3.200      1.391      0.828
    3.300      1.262      0.598
    3.400      1.100      0.337
    3.500      0.901      0.038
    3.600      0.735     -0.229
    3.700      0.556     -0.507
    3.800      0.340     -0.823
    3.900      0.113     -1.150
    4.000     -0.104     -1.467
