   -1.800      5.973     10.409
   -1.700      5.896     10.233
   -1.600      5.823     10.060
   -1.500      5.735      9.872
   -1.400      5.656      9.692
   -1.300      5.581      9.517
   -1.200      5.492      9.329
   -1.100      5.417      9.153
   -1.000      5.353      8.990
   -0.900      5.248      8.785
   -0.800      5.173      8.610
   -0.700      5.104      8.441
   -0.600      5.024      8.260
   -0.500      4.949      8.086
   -0.400      4.861      7.898
   -0.300      4.783      7.720
   -0.200      4.690      7.527
   -0.100      4.619      7.356
    0.000      4.520      7.157
    0.100      4.430      6.967
    0.200      4.327      6.764
    0.300      4.251      6.588
    0.400      4.155      6.392
    0.500      4.054      6.191
    0.600      3.943      5.980
    0.700      3.848      5.785
    0.800      3.749      5.586
    0.900      3.652      5.389
    1.000      3.549      5.186
    1.100      3.429      4.966
    1.200      3.321      4.758
    1.300      3.224      4.560
    1.400      3.123      4.360
    1.500      3.013      4.150
    1.600      2.914      3.951
    1.700      2.811      3.748
    1.800      2.714      3.551
    1.900      2.604      3.341
    2.000      2.503      3.140
    2.100      2.398      2.935
    2.200      2.295      2.732
    2.300      2.184      2.520
    2.400      2.080      2.317
    2.500      1.977      2.114
    2.600      1.872      1.909
    2.700      1.765      1.702
    2.800      1.646      1.483
    2.900      1.529      1.266
    3.000      1.400      1.037
    3.100      1.276      0.812
    3.200      1.136      0.573
    3.300      1.012      0.349
    3.400      0.848      0.085
    3.500      0.699     -0.164
    3.600      0.522     -0.441
    3.700      0.426     -0.637
    3.800      0.219     -0.944
    3.900      0.011     -1.252
    4.000     -0.248     -1.611
